"","GEOID","medAge2010"
"1","11001000100",42
"2","11001000201",19.4
"3","11001000202",27.8
"4","11001000300",30.3
"5","11001000400",40.7
"6","11001000501",30.5
"7","11001000502",39.5
"8","11001000600",48.2
"9","11001000701",49.3
"10","11001000702",30.3
"11","11001000801",43.1
"12","11001000802",41.1
"13","11001000901",19.8
"14","11001000902",41.6
"15","11001001001",36.4
"16","11001001002",32.8
"17","11001001100",42
"18","11001001200",35
"19","11001001301",37
"20","11001001302",34.4
"21","11001001401",39.6
"22","11001001402",46.7
"23","11001001500",46.4
"24","11001001600",47.4
"25","11001001702",38.3
"26","11001001803",44
"27","11001001804",37.1
"28","11001001901",42.6
"29","11001001902",46.5
"30","11001002001",39.4
"31","11001002002",43.9
"32","11001002101",36.2
"33","11001002102",39.2
"34","11001002201",36.1
"35","11001002202",41.1
"36","11001002301",40.7
"37","11001002302",55.8
"38","11001002400",39.6
"39","11001002501",41.4
"40","11001002502",34.6
"41","11001002600",48.6
"42","11001002701",32.2
"43","11001002702",34
"44","11001002801",30.3
"45","11001002802",31
"46","11001002900",30.8
"47","11001003000",30.8
"48","11001003100",31.3
"49","11001003200",34.1
"50","11001003301",36.3
"51","11001003302",33.6
"52","11001003400",20.3
"53","11001003500",29.1
"54","11001003600",34.9
"55","11001003700",27.7
"56","11001003800",35.1
"57","11001003900",34.8
"58","11001004001",37.8
"59","11001004002",33.8
"60","11001004100",42.7
"61","11001004201",31.3
"62","11001004202",33.5
"63","11001004300",35.6
"64","11001004400",33.2
"65","11001004600",35.6
"66","11001004701",23.8
"67","11001004702",36.9
"68","11001004801",39.3
"69","11001004802",34.3
"70","11001004901",33
"71","11001004902",29.9
"72","11001005001",37.5
"73","11001005002",34.4
"74","11001005201",34.5
"75","11001005301",35.6
"76","11001005500",34.8
"77","11001005600",31
"78","11001005800",32.8
"79","11001005900",35.3
"80","11001006202",NA
"81","11001006400",37.8
"82","11001006500",33.3
"83","11001006600",34.3
"84","11001006700",37.7
"85","11001006801",34.2
"86","11001006802",37.3
"87","11001006804",34.1
"88","11001006900",34.4
"89","11001007000",33.8
"90","11001007100",29.8
"91","11001007200",34.7
"92","11001007301",24.9
"93","11001007304",29.4
"94","11001007401",23.6
"95","11001007403",27.7
"96","11001007404",19
"97","11001007406",21.5
"98","11001007407",28.4
"99","11001007408",26.8
"100","11001007409",24.9
"101","11001007502",29.7
"102","11001007503",33.3
"103","11001007504",28.8
"104","11001007601",45.4
"105","11001007603",41.7
"106","11001007604",48.3
"107","11001007605",42.4
"108","11001007703",27.8
"109","11001007707",33.8
"110","11001007708",32.7
"111","11001007709",47.2
"112","11001007803",37.9
"113","11001007804",35.5
"114","11001007806",38.7
"115","11001007807",37.8
"116","11001007808",23.8
"117","11001007809",35.6
"118","11001007901",34.3
"119","11001007903",46.1
"120","11001008001",36
"121","11001008002",34.4
"122","11001008100",30.9
"123","11001008200",30.7
"124","11001008301",37.3
"125","11001008302",33.5
"126","11001008402",40.6
"127","11001008410",35.6
"128","11001008701",33.5
"129","11001008702",40
"130","11001008802",35.7
"131","11001008803",28
"132","11001008804",41.8
"133","11001008903",35.7
"134","11001008904",38.7
"135","11001009000",50.2
"136","11001009102",32.4
"137","11001009201",33.6
"138","11001009203",32.4
"139","11001009204",41.2
"140","11001009301",41.8
"141","11001009302",39.7
"142","11001009400",45.3
"143","11001009501",20.8
"144","11001009503",51.2
"145","11001009504",44.8
"146","11001009505",47.2
"147","11001009507",46.2
"148","11001009508",46.6
"149","11001009509",50.5
"150","11001009601",17.9
"151","11001009602",26.7
"152","11001009603",35.6
"153","11001009604",41.6
"154","11001009700",27.8
"155","11001009801",19.7
"156","11001009802",28.5
"157","11001009803",28.4
"158","11001009804",26
"159","11001009807",41.4
"160","11001009810",26.2
"161","11001009811",25.6
"162","11001009901",52.4
"163","11001009902",45.7
"164","11001009903",39.2
"165","11001009904",31.1
"166","11001009905",33.6
"167","11001009906",37.5
"168","11001009907",26.8
"169","11001010100",31.9
"170","11001010200",42.9
"171","11001010300",36.3
"172","11001010400",36.8
"173","11001010500",35.2
"174","11001010600",34.1
"175","11001010700",27.1
"176","11001010800",19.7
"177","11001010900",22.7
"178","11001011000",45.9
"179","11001011100",47
