"","GEOID","medAge2011"
"1","11001000100",41.1
"2","11001000201",19.5
"3","11001000202",27.1
"4","11001000300",32.3
"5","11001000400",43
"6","11001000501",29.7
"7","11001000502",39.7
"8","11001000600",47
"9","11001000701",44.3
"10","11001000702",31
"11","11001000801",44
"12","11001000802",38.7
"13","11001000901",20.2
"14","11001000902",42.6
"15","11001001001",39.6
"16","11001001002",34.2
"17","11001001100",42.8
"18","11001001200",36.8
"19","11001001301",35.8
"20","11001001302",35.3
"21","11001001401",39.7
"22","11001001402",46.6
"23","11001001500",46.7
"24","11001001600",48.6
"25","11001001702",38.8
"26","11001001803",39.8
"27","11001001804",37.2
"28","11001001901",43.3
"29","11001001902",44.2
"30","11001002001",38.9
"31","11001002002",44.3
"32","11001002101",36
"33","11001002102",33.2
"34","11001002201",36.5
"35","11001002202",39.7
"36","11001002301",37.8
"37","11001002302",46.1
"38","11001002400",36.9
"39","11001002501",40
"40","11001002502",35.1
"41","11001002600",47.1
"42","11001002701",33
"43","11001002702",33.3
"44","11001002801",29.6
"45","11001002802",30.9
"46","11001002900",30.4
"47","11001003000",30
"48","11001003100",32.5
"49","11001003200",35.6
"50","11001003301",36
"51","11001003302",33.3
"52","11001003400",20.8
"53","11001003500",23.6
"54","11001003600",33.9
"55","11001003700",29
"56","11001003800",33.7
"57","11001003900",34.5
"58","11001004001",37.8
"59","11001004002",34.8
"60","11001004100",43.1
"61","11001004201",31.3
"62","11001004202",32.5
"63","11001004300",36.3
"64","11001004400",34
"65","11001004600",35.2
"66","11001004701",29.9
"67","11001004702",38.1
"68","11001004801",39.4
"69","11001004802",35.2
"70","11001004901",31.1
"71","11001004902",29.8
"72","11001005001",35.7
"73","11001005002",34.2
"74","11001005201",33.4
"75","11001005301",32.9
"76","11001005500",33
"77","11001005600",28.6
"78","11001005800",34.3
"79","11001005900",31.9
"80","11001006202",NA
"81","11001006400",39.7
"82","11001006500",33.2
"83","11001006600",32.9
"84","11001006700",37.7
"85","11001006801",36.4
"86","11001006802",34.7
"87","11001006804",33
"88","11001006900",36.5
"89","11001007000",32.2
"90","11001007100",31.2
"91","11001007200",31.3
"92","11001007301",23.2
"93","11001007304",35.7
"94","11001007401",28.4
"95","11001007403",25.2
"96","11001007404",24
"97","11001007406",22.3
"98","11001007407",29.8
"99","11001007408",25.3
"100","11001007409",25.1
"101","11001007502",29.2
"102","11001007503",30.2
"103","11001007504",31.6
"104","11001007601",46
"105","11001007603",45.8
"106","11001007604",46.6
"107","11001007605",41.4
"108","11001007703",29.4
"109","11001007707",34.3
"110","11001007708",33.3
"111","11001007709",39
"112","11001007803",39.7
"113","11001007804",35.3
"114","11001007806",38.1
"115","11001007807",36.3
"116","11001007808",23.2
"117","11001007809",36.8
"118","11001007901",33.2
"119","11001007903",46.5
"120","11001008001",34.7
"121","11001008002",34.6
"122","11001008100",30.7
"123","11001008200",30.8
"124","11001008301",31.4
"125","11001008302",32.3
"126","11001008402",34.5
"127","11001008410",35.4
"128","11001008701",33.8
"129","11001008702",35.9
"130","11001008802",37.7
"131","11001008803",22.4
"132","11001008804",41.3
"133","11001008903",34.2
"134","11001008904",43.6
"135","11001009000",49.1
"136","11001009102",35.4
"137","11001009201",25.8
"138","11001009203",26.3
"139","11001009204",39.5
"140","11001009301",41.5
"141","11001009302",42.5
"142","11001009400",44.8
"143","11001009501",22.1
"144","11001009503",46.5
"145","11001009504",44.5
"146","11001009505",48.5
"147","11001009507",46.4
"148","11001009508",40.3
"149","11001009509",44.9
"150","11001009601",17.7
"151","11001009602",28.8
"152","11001009603",40.3
"153","11001009604",47.8
"154","11001009700",33.3
"155","11001009801",25.4
"156","11001009802",25.5
"157","11001009803",31.9
"158","11001009804",27.2
"159","11001009807",39.4
"160","11001009810",26
"161","11001009811",25.9
"162","11001009901",52.7
"163","11001009902",45.7
"164","11001009903",41.1
"165","11001009904",34.5
"166","11001009905",36.1
"167","11001009906",41.2
"168","11001009907",28.9
"169","11001010100",32.7
"170","11001010200",40.2
"171","11001010300",38.1
"172","11001010400",35.7
"173","11001010500",36.1
"174","11001010600",32.4
"175","11001010700",27.4
"176","11001010800",20
"177","11001010900",24.1
"178","11001011000",49.8
"179","11001011100",45.3
