"","GEOID","medAge2012"
"1","11001000100",39.4
"2","11001000201",19.5
"3","11001000202",27.1
"4","11001000300",32.4
"5","11001000400",43.9
"6","11001000501",30
"7","11001000502",39.3
"8","11001000600",47
"9","11001000701",44.3
"10","11001000702",30.7
"11","11001000801",42
"12","11001000802",40.7
"13","11001000901",20.2
"14","11001000902",42.6
"15","11001001001",38.2
"16","11001001002",32.5
"17","11001001100",47.5
"18","11001001200",36.9
"19","11001001301",33.9
"20","11001001302",35.2
"21","11001001401",39
"22","11001001402",45
"23","11001001500",46.7
"24","11001001600",49.5
"25","11001001702",38
"26","11001001803",39.1
"27","11001001804",35.2
"28","11001001901",43.2
"29","11001001902",42.8
"30","11001002001",41.6
"31","11001002002",44.2
"32","11001002101",36.3
"33","11001002102",36.5
"34","11001002201",35.2
"35","11001002202",34.1
"36","11001002301",39.6
"37","11001002302",44.7
"38","11001002400",37.4
"39","11001002501",37.6
"40","11001002502",35.3
"41","11001002600",47.1
"42","11001002701",32.5
"43","11001002702",32.7
"44","11001002801",31.1
"45","11001002802",29.8
"46","11001002900",30.4
"47","11001003000",30
"48","11001003100",29.1
"49","11001003200",34.8
"50","11001003301",34.4
"51","11001003302",35.9
"52","11001003400",21
"53","11001003500",23.6
"54","11001003600",33.6
"55","11001003700",29.2
"56","11001003800",33.5
"57","11001003900",34
"58","11001004001",38.4
"59","11001004002",34.6
"60","11001004100",44.2
"61","11001004201",31.1
"62","11001004202",32
"63","11001004300",38.2
"64","11001004400",32.4
"65","11001004600",32.2
"66","11001004701",28.7
"67","11001004702",32.4
"68","11001004801",39.5
"69","11001004802",32.7
"70","11001004901",30
"71","11001004902",29.9
"72","11001005001",31.8
"73","11001005002",34.8
"74","11001005201",34.5
"75","11001005301",33
"76","11001005500",32.3
"77","11001005600",27.7
"78","11001005800",34.4
"79","11001005900",30
"80","11001006202",NA
"81","11001006400",36
"82","11001006500",36.5
"83","11001006600",34.7
"84","11001006700",37.7
"85","11001006801",36.6
"86","11001006802",35.7
"87","11001006804",33.9
"88","11001006900",36.5
"89","11001007000",34.3
"90","11001007100",30.8
"91","11001007200",31.4
"92","11001007301",22.7
"93","11001007304",34.3
"94","11001007401",26.4
"95","11001007403",27.1
"96","11001007404",25.4
"97","11001007406",21.4
"98","11001007407",34.2
"99","11001007408",25.1
"100","11001007409",27.3
"101","11001007502",26.5
"102","11001007503",26.7
"103","11001007504",29.1
"104","11001007601",43.1
"105","11001007603",48.8
"106","11001007604",45.7
"107","11001007605",38.6
"108","11001007703",31.4
"109","11001007707",34.4
"110","11001007708",37.7
"111","11001007709",47.3
"112","11001007803",42.1
"113","11001007804",34.6
"114","11001007806",40.7
"115","11001007807",34.7
"116","11001007808",24.3
"117","11001007809",37.6
"118","11001007901",33.3
"119","11001007903",40.3
"120","11001008001",34.3
"121","11001008002",35.2
"122","11001008100",30.7
"123","11001008200",32.3
"124","11001008301",31.8
"125","11001008302",33.5
"126","11001008402",36.1
"127","11001008410",34.3
"128","11001008701",40.3
"129","11001008702",35.6
"130","11001008802",35.9
"131","11001008803",24.8
"132","11001008804",40
"133","11001008903",34.2
"134","11001008904",42.6
"135","11001009000",50.6
"136","11001009102",32.5
"137","11001009201",27.6
"138","11001009203",29.9
"139","11001009204",39
"140","11001009301",41.8
"141","11001009302",41.7
"142","11001009400",46
"143","11001009501",23
"144","11001009503",47.8
"145","11001009504",45.9
"146","11001009505",45.2
"147","11001009507",50.2
"148","11001009508",43.2
"149","11001009509",44.9
"150","11001009601",26
"151","11001009602",29.2
"152","11001009603",44
"153","11001009604",46.5
"154","11001009700",29.4
"155","11001009801",26
"156","11001009802",28.8
"157","11001009803",32.2
"158","11001009804",29
"159","11001009807",39.8
"160","11001009810",26.1
"161","11001009811",25.3
"162","11001009901",52.7
"163","11001009902",45.8
"164","11001009903",44.1
"165","11001009904",35.7
"166","11001009905",34.5
"167","11001009906",36.5
"168","11001009907",26.1
"169","11001010100",33.9
"170","11001010200",39.8
"171","11001010300",40.1
"172","11001010400",35.8
"173","11001010500",36.3
"174","11001010600",30.8
"175","11001010700",27.9
"176","11001010800",19.9
"177","11001010900",23.5
"178","11001011000",50.7
"179","11001011100",43.4
