"","GEOID","medAge2013"
"1","11001000100",38.2
"2","11001000201",19.5
"3","11001000202",28
"4","11001000300",31.9
"5","11001000400",47.3
"6","11001000501",30.9
"7","11001000502",40.1
"8","11001000600",45.2
"9","11001000701",42.2
"10","11001000702",29.8
"11","11001000801",45
"12","11001000802",39
"13","11001000901",20.5
"14","11001000902",43
"15","11001001001",38.1
"16","11001001002",30.9
"17","11001001100",47.3
"18","11001001200",39.3
"19","11001001301",35.3
"20","11001001302",34.1
"21","11001001401",40.5
"22","11001001402",44.4
"23","11001001500",45.4
"24","11001001600",49.9
"25","11001001702",40.7
"26","11001001803",38.1
"27","11001001804",35.2
"28","11001001901",41.2
"29","11001001902",42.6
"30","11001002001",36.9
"31","11001002002",44.6
"32","11001002101",36.3
"33","11001002102",35.2
"34","11001002201",34.2
"35","11001002202",34.2
"36","11001002301",38.6
"37","11001002302",36
"38","11001002400",37.6
"39","11001002501",36.1
"40","11001002502",35.4
"41","11001002600",47.5
"42","11001002701",34.5
"43","11001002702",32.8
"44","11001002801",32.3
"45","11001002802",30.1
"46","11001002900",30.9
"47","11001003000",28.6
"48","11001003100",28.8
"49","11001003200",36.2
"50","11001003301",32
"51","11001003302",35
"52","11001003400",22
"53","11001003500",22.9
"54","11001003600",33.2
"55","11001003700",28.3
"56","11001003800",33.2
"57","11001003900",34.4
"58","11001004001",38.7
"59","11001004002",34.2
"60","11001004100",44.1
"61","11001004201",30.9
"62","11001004202",31.6
"63","11001004300",36.4
"64","11001004400",32.7
"65","11001004600",34.1
"66","11001004701",29.4
"67","11001004702",32.7
"68","11001004801",38.7
"69","11001004802",32
"70","11001004901",31.3
"71","11001004902",32.7
"72","11001005001",32
"73","11001005002",35.1
"74","11001005201",31.4
"75","11001005301",31.9
"76","11001005500",32.2
"77","11001005600",28.5
"78","11001005800",35.4
"79","11001005900",29.5
"80","11001006202",NA
"81","11001006400",33.4
"82","11001006500",36.3
"83","11001006600",38.8
"84","11001006700",37.4
"85","11001006801",34.5
"86","11001006802",36.3
"87","11001006804",33.9
"88","11001006900",38.9
"89","11001007000",34.1
"90","11001007100",32.9
"91","11001007200",31
"92","11001007301",23
"93","11001007304",34.1
"94","11001007401",25.3
"95","11001007403",24
"96","11001007404",25
"97","11001007406",19.8
"98","11001007407",33.9
"99","11001007408",29.4
"100","11001007409",25.7
"101","11001007502",29.3
"102","11001007503",27.1
"103","11001007504",28.5
"104","11001007601",43.6
"105","11001007603",49.4
"106","11001007604",45.4
"107","11001007605",41.5
"108","11001007703",32.7
"109","11001007707",33.7
"110","11001007708",36.7
"111","11001007709",48.4
"112","11001007803",42.2
"113","11001007804",40.5
"114","11001007806",40.9
"115","11001007807",35.8
"116","11001007808",22.7
"117","11001007809",37.4
"118","11001007901",33.7
"119","11001007903",40.9
"120","11001008001",36
"121","11001008002",35.4
"122","11001008100",33.4
"123","11001008200",30.4
"124","11001008301",32.2
"125","11001008302",33.4
"126","11001008402",39.1
"127","11001008410",33
"128","11001008701",36.6
"129","11001008702",33.9
"130","11001008802",38.5
"131","11001008803",24.1
"132","11001008804",40.6
"133","11001008903",35
"134","11001008904",41.8
"135","11001009000",49
"136","11001009102",28.6
"137","11001009201",32.5
"138","11001009203",33.5
"139","11001009204",34.4
"140","11001009301",36.5
"141","11001009302",40.3
"142","11001009400",42.8
"143","11001009501",23.4
"144","11001009503",43.9
"145","11001009504",45.9
"146","11001009505",44.7
"147","11001009507",49.6
"148","11001009508",38.9
"149","11001009509",38.3
"150","11001009601",23.8
"151","11001009602",26.5
"152","11001009603",44.2
"153","11001009604",46.8
"154","11001009700",31.1
"155","11001009801",25.1
"156","11001009802",30
"157","11001009803",32.6
"158","11001009804",27.9
"159","11001009807",40.2
"160","11001009810",30.5
"161","11001009811",23.8
"162","11001009901",51.6
"163","11001009902",41.9
"164","11001009903",44
"165","11001009904",32.3
"166","11001009905",34.5
"167","11001009906",39.2
"168","11001009907",29.7
"169","11001010100",33.9
"170","11001010200",39.6
"171","11001010300",44.2
"172","11001010400",35.8
"173","11001010500",35.5
"174","11001010600",30.6
"175","11001010700",29.2
"176","11001010800",20
"177","11001010900",22.2
"178","11001011000",51
"179","11001011100",45.8
