"","GEOID","medAge2015"
"1","11001000100",36.8
"2","11001000201",19.7
"3","11001000202",24.9
"4","11001000300",32.4
"5","11001000400",45.9
"6","11001000501",34.3
"7","11001000502",36.9
"8","11001000600",45.2
"9","11001000701",48.1
"10","11001000702",29.2
"11","11001000801",41.1
"12","11001000802",35.3
"13","11001000901",20.7
"14","11001000902",42.5
"15","11001001001",41.6
"16","11001001002",29.7
"17","11001001100",42.8
"18","11001001200",38.5
"19","11001001301",35.5
"20","11001001302",35.6
"21","11001001401",39.3
"22","11001001402",41.2
"23","11001001500",45.3
"24","11001001600",50.1
"25","11001001702",42
"26","11001001803",34.7
"27","11001001804",34.6
"28","11001001901",37.8
"29","11001001902",41.2
"30","11001002001",42.5
"31","11001002002",42
"32","11001002101",37.5
"33","11001002102",40.5
"34","11001002201",35.7
"35","11001002202",32.5
"36","11001002301",39.1
"37","11001002302",43.5
"38","11001002400",36.1
"39","11001002501",39.2
"40","11001002502",34.3
"41","11001002600",46.1
"42","11001002701",32.6
"43","11001002702",32.7
"44","11001002801",30.8
"45","11001002802",30.8
"46","11001002900",30.9
"47","11001003000",28.9
"48","11001003100",33.4
"49","11001003200",33.5
"50","11001003301",31.2
"51","11001003302",32.5
"52","11001003400",22.3
"53","11001003500",23
"54","11001003600",32.2
"55","11001003700",29.9
"56","11001003800",33.9
"57","11001003900",32.5
"58","11001004001",34.6
"59","11001004002",34.7
"60","11001004100",42.9
"61","11001004201",31.8
"62","11001004202",31.8
"63","11001004300",34.9
"64","11001004400",32.7
"65","11001004600",31.9
"66","11001004701",30.1
"67","11001004702",32.9
"68","11001004801",37.3
"69","11001004802",32.5
"70","11001004901",32.2
"71","11001004902",32.2
"72","11001005001",35.2
"73","11001005002",35.3
"74","11001005201",31.5
"75","11001005301",31.7
"76","11001005500",33.2
"77","11001005600",28.1
"78","11001005800",39.9
"79","11001005900",28.5
"80","11001006202",24.8
"81","11001006400",33.4
"82","11001006500",32.3
"83","11001006600",39.2
"84","11001006700",39.1
"85","11001006801",35.9
"86","11001006802",36.5
"87","11001006804",35
"88","11001006900",41.2
"89","11001007000",31.5
"90","11001007100",32.4
"91","11001007200",30.7
"92","11001007301",23
"93","11001007304",34.3
"94","11001007401",27.4
"95","11001007403",25.5
"96","11001007404",22.9
"97","11001007406",25.3
"98","11001007407",32.4
"99","11001007408",29.8
"100","11001007409",27.9
"101","11001007502",31.2
"102","11001007503",24.8
"103","11001007504",28.2
"104","11001007601",43.3
"105","11001007603",46.6
"106","11001007604",42.1
"107","11001007605",40.8
"108","11001007703",31.6
"109","11001007707",32.5
"110","11001007708",35.4
"111","11001007709",40.9
"112","11001007803",41.8
"113","11001007804",41.3
"114","11001007806",37.7
"115","11001007807",35.5
"116","11001007808",28.6
"117","11001007809",35.3
"118","11001007901",35.8
"119","11001007903",35.3
"120","11001008001",35.2
"121","11001008002",35.8
"122","11001008100",34.1
"123","11001008200",30.1
"124","11001008301",32.7
"125","11001008302",34.3
"126","11001008402",38.7
"127","11001008410",32.7
"128","11001008701",36.2
"129","11001008702",36.6
"130","11001008802",37.5
"131","11001008803",24.9
"132","11001008804",37.6
"133","11001008903",32.8
"134","11001008904",41.2
"135","11001009000",50.1
"136","11001009102",28.9
"137","11001009201",32.3
"138","11001009203",35.1
"139","11001009204",37.4
"140","11001009301",40
"141","11001009302",38.4
"142","11001009400",42.1
"143","11001009501",23.3
"144","11001009503",42.3
"145","11001009504",49
"146","11001009505",50.6
"147","11001009507",42.2
"148","11001009508",36.5
"149","11001009509",35.6
"150","11001009601",34.9
"151","11001009602",26.9
"152","11001009603",45.3
"153","11001009604",48.1
"154","11001009700",29.8
"155","11001009801",26.4
"156","11001009802",30.2
"157","11001009803",32.8
"158","11001009804",29.9
"159","11001009807",39.2
"160","11001009810",26.9
"161","11001009811",28.7
"162","11001009901",47.9
"163","11001009902",41.8
"164","11001009903",39.8
"165","11001009904",30.2
"166","11001009905",35.4
"167","11001009906",36.1
"168","11001009907",31
"169","11001010100",35.9
"170","11001010200",36.8
"171","11001010300",39.9
"172","11001010400",35.4
"173","11001010500",35.9
"174","11001010600",30.8
"175","11001010700",28.8
"176","11001010800",20.1
"177","11001010900",22.7
"178","11001011000",47
"179","11001011100",41.7
